Название игры,Жанры,Описание,Целевая аудитория,Прибыльность,Конкуренты
the bard's tale iv: director's cut,RPG,Нет описания,Все возрастные группы,Низкая,Нет данных
battlestations pacific,"Action, Strategy",Нет описания,Teen,Средняя,Нет данных
vikings - wolves of midgard,"Action, RPG",Нет описания,Mature,Средняя,Нет данных
framed collection,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
the curse of monkey island,Adventure,Нет описания,Все возрастные группы,Высокая,Нет данных
i am fish,"Action, Adventure, Simulation, Indie",Нет описания,Teen,Низкая,Нет данных
viridi,"Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
tom clancy's ghost recon: future soldier,"Action, Shooter",Нет описания,Mature,Средняя,Нет данных
journey of a roach,"Adventure, Indie, Puzzle",Нет описания,Teen,Средняя,Нет данных
"sam & max: 103 - the mole, the mob and the meatball","Action, Adventure",Нет описания,Все возрастные группы,Низкая,Нет данных
hexen: beyond heretic,"Action, Shooter",Нет описания,Mature,Низкая,Нет данных
anodyne,"Action, Adventure, RPG, Arcade, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
marvel's guardians of the galaxy: the telltale series,Adventure,Нет описания,Teen,Средняя,Нет данных
space farmers,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
redout: lightspeed edition,"Action, Simulation, Racing, Arcade, Casual, Indie",Нет описания,Everyone,Высокая,Нет данных
sam & max: 102 - situation: comedy,"Action, Adventure",Нет описания,Все возрастные группы,Низкая,Нет данных
tactical intervention,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
the bard's tale trilogy,RPG,Нет описания,Все возрастные группы,Низкая,Нет данных
mass effect: andromeda deluxe edition,"Action, RPG",Нет описания,Все возрастные группы,Низкая,Нет данных
8-bit bayonetta,"Action, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
freedom planet,"Action, Indie, Platformer",Нет описания,Everyone 10+,Высокая,Нет данных
sam & max: 105 - reality 2.0,"Action, Adventure",Нет описания,Все возрастные группы,Низкая,Нет данных
"pokémon red, blue, yellow","Action, Adventure, RPG",Нет описания,Все возрастные группы,Низкая,Нет данных
neurovoider,"Action, Shooter, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
drake hollow,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
barrier x,"Action, Indie",Нет описания,Everyone,Низкая,Нет данных
god of war: chains of olympus,Action,Нет описания,Mature,Высокая,Нет данных
ssx,"Sports, Arcade",Нет описания,Everyone 10+,Высокая,Нет данных
exapunks,"Simulation, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
wildstar,"RPG, Massively Multiplayer",Нет описания,Все возрастные группы,Высокая,Нет данных
ape out,"Action, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
desert child,"Action, RPG, Simulation, Racing, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
the occupation,"Action, Adventure, Indie",Нет описания,Mature,Средняя,Нет данных
aven colony,"Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
symmetry,"Adventure, Strategy, Simulation",Нет описания,Все возрастные группы,Средняя,Нет данных
headlander,"Action, Adventure, Arcade",Нет описания,Все возрастные группы,Средняя,Нет данных
felix the reaper,"Adventure, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
eye of the beholder 3: assault on myth drannor,RPG,Нет описания,Все возрастные группы,Низкая,Нет данных
greed corp,"Strategy, Simulation, Board Games",Нет описания,Все возрастные группы,Высокая,Нет данных
guilty gear xrd -revelator,"Action, Fighting",Нет описания,Teen,Низкая,Нет данных
chivalry 2,"Action, Fighting",Нет описания,Adults Only,Высокая,Нет данных
perfect dark,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
interplanetary,"Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
ready or not,"Action, Shooter, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
relicta,"Action, Adventure, Indie, Puzzle",Нет описания,Mature,Средняя,Нет данных
"warhammer 40,000: inquisitor - martyr","Action, Adventure, RPG, Indie",Нет описания,Mature,Средняя,Нет данных
total annihilation: commander pack,Strategy,Нет описания,Teen,Низкая,Нет данных
ghost master,"Action, Strategy, Simulation",Нет описания,Everyone 10+,Высокая,Нет данных
still life 2,"Action, Adventure",Нет описания,Adults Only,Средняя,Нет данных
overload - playable teaser,,Нет описания,Все возрастные группы,Низкая,Нет данных
wwe 2k16,"Action, Simulation, Sports",Нет описания,Все возрастные группы,Средняя,Нет данных
subterrain,"Action, Shooter, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
eufloria hd,"Strategy, Arcade, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
interplanetary: enhanced edition,"Strategy, Simulation, Indie","In this turn-based strategic artillery game, players wage interplanetary wars by developing their home planets and firing massive barrages through the unpredictable gravity fields of the solar system.",Все возрастные группы,Низкая,Нет данных
princess remedy in a heap of trouble,"Action, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
star wars galactic battlegrounds saga,"Action, Strategy",Нет описания,Teen,Низкая,Нет данных
nba 2k14,Sports,Нет описания,Everyone,Высокая,Нет данных
heaven's vault,"Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
fallen enchantress: legendary heroes,"RPG, Strategy, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
horizon zero dawn: the frozen wilds,"Action, Adventure, RPG",Нет описания,Teen,Высокая,Нет данных
the norwood suite,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
dungeons & dragons online,"Action, Adventure, RPG, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
tower unite,"Action, Adventure, Casual, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
genesis alpha one,"Action, Shooter, Adventure, RPG, Simulation, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
the chronicles of riddick: assault on dark athena,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
death squared,"Casual, Indie, Puzzle","Death Squared is a co-op puzzle game about cooperation, communication, and robot explosions.",Everyone,Высокая,Нет данных
star wars jedi: survivor,"Action, Adventure","The story of Cal Kestis continues in Star Wars Jedi: Survivor, a third-person, galaxy-spanning, action-adventure game from Respawn Entertainment, developed in collaboration with Lucasfilm Games. This narratively driven, single-player title picks up five years after the events of Star Wars Jedi: Fallen Order and follows Cal’s increasingly desperate fight as the galaxy descends further into darkness. Pushed to the edges of the galaxy by the Empire, Cal will find himself surrounded by threats new and familiar. As one of the last surviving Jedi Knights, Cal is driven to make a stand during the galaxy’s darkest times — but how far is he willing to go to protect himself, his crew, and the legacy of the Jedi Order?",Teen,Низкая,Нет данных
full mojo rampage,"Action, RPG, Indie",Нет описания,Teen,Низкая,Нет данных
crysis remastered,"Action, Shooter, Adventure",Нет описания,Mature,Средняя,Нет данных
fluffy horde,"Action, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
train valley,"Strategy, Simulation, Casual, Indie","Build railways, manage traffic and stay accident-free! Play in Europe, America, Japan and USSR in the period from 1830 to 2020. Complete the story mode from the Gold Rush of 1849 to the first manned spaceflight, and then explore the random mode. Management. Construction. Trains. Welcome to Train Valley!",Все возрастные группы,Средняя,Нет данных
gang of four,"Strategy, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
the legend of zelda: majora's mask,"Action, Adventure",Нет описания,Everyone 10+,Высокая,Нет данных
democracy 3,"Strategy, Simulation, Indie",Нет описания,Teen,Средняя,Нет данных
arma tactics,"Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
the witcher 3: wild hunt – blood and wine,RPG,Нет описания,Mature,Высокая,Нет данных
wolfenstein,"Action, Shooter","Wolfenstein is the direct sequel to Return to Castle Wolfenstein and Spear of Destiny/Wolfenstein RPG. It featured a ""re-imagined"" disguised dark-haired B.J. Blazkowicz, retaining the unshaven look seen in Return to Castle Wolfenstein and dressed in civilian clothes rather than his usual military uniform.

The game mainly consists of the player shooting his way through hordes of different types of Nazis, ranging from normal soldier to ninjas. To deal with the large amount of enemies, the player has access to many typical WWII-weapons like the German MP40 or K98 rifle. In addition, during the course of the game he finds the medallion and learns four powers. While at first entering the Veil only allows him so see enemies more clearly and use strange flying creatures as bombs, he is later able to slow down time, surround himself with a protective shield or make himself stronger. However, the medallion's powers drain its energy, which needs to be refilled at power-spots that are nearly invisible in the real world.",Mature,Средняя,Нет данных
king's bounty: dark side,"Adventure, RPG, Strategy",Нет описания,Все возрастные группы,Средняя,Нет данных
mechwarrior online,"Action, Strategy, Simulation, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
caveblazers,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
the age of decadence,"RPG, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
hacker evolution: untold,"Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
vanguard princess,"Action, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
art of rally,"Sports, Racing, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
sam & max: episode 204 - chariots of the dogs,"Adventure, Puzzle",Нет описания,Все возрастные группы,Высокая,Нет данных
gun metal,Action,Нет описания,Все возрастные группы,Средняя,Нет данных
painkiller: resurrection,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
lust for darkness,"Adventure, Indie","A psychological horror of seeking satisfaction on the border of two intertwining worlds.
An intruguing plot with erotic and occult themes guides the player's character through the Yelvertones' victorian mansion and a perverse land inspired with Lovecraft's works and paintings of Zdzisław Beksiński.",Все возрастные группы,Низкая,Нет данных
sam & max: episode 203 - night of the raving dead,"Adventure, Puzzle",Нет описания,Все возрастные группы,Высокая,Нет данных
sam & max: episode 201 - ice station santa,Adventure,Нет описания,Все возрастные группы,Высокая,Нет данных
forza motorsport 3,Racing,Нет описания,Everyone,Высокая,Нет данных
freebie,"Casual, Indie",Freebie is a casual game where you launch a ball against a paddle and hit a green surface. Be careful not to hit the red surfaces or you'll lose a life!,Все возрастные группы,Низкая,Нет данных
agatha christie - the abc murders,"Action, Adventure, Puzzle",Нет описания,Teen,Средняя,Нет данных
skul: the hero slayer,"Action, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
tails noir,"Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
heretic: shadow of the serpent riders,"Action, Shooter",Нет описания,Все возрастные группы,Низкая,Нет данных
arcania: fall of setarrif,"Action, RPG",Нет описания,Все возрастные группы,Низкая,Нет данных
robot roller-derby disco dodgeball,"Action, Sports, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
take on helicopters,Simulation,Нет описания,Все возрастные группы,Средняя,Нет данных
x3: reunion,"Action, Strategy, Simulation",Нет описания,Teen,Средняя,Нет данных
aliens: colonial marines collection,Action,Нет описания,Mature,Низкая,Нет данных
unfortunate spacemen,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
legend of keepers: prologue,"RPG, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
pathway,"Adventure, RPG, Strategy, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
coffee talk,"Casual, Indie",Нет описания,Teen,Средняя,Нет данных
deliver us the moon,"Action, Adventure, Indie",Нет описания,Teen,Средняя,Нет данных
sam & max: episode 202 - moai better blues,"Adventure, Puzzle",Нет описания,Все возрастные группы,Высокая,Нет данных
peggle deluxe,"Casual, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
huniecam studio,"Simulation, Indie","In HunieCam Studio players take control of a sleazy cam girl operation. Rake in stacks of filthy internet money and attract as many disgusting fans as you can in this fast paced, click happy and thoroughly perverted take on the business tycoon / management sim genre!",Adults Only,Низкая,Нет данных
spirits,"Action, Strategy, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
system shock,"Action, Shooter, Adventure",Нет описания,Все возрастные группы,Высокая,Нет данных
rocksmith 2014 edition - remastered,"Simulation, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
beamng.drive,"Simulation, Racing",Нет описания,Everyone 10+,Низкая,Нет данных
mandagon,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
1954 alcatraz,"Action, Adventure, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
expeditions: viking,"RPG, Strategy, Indie","Expeditions: Viking is a Historically-themed RPG set in the Viking Age. As the new leader of a humble clan of farmers and fighters players must adventure into the unknown lands to the west to raid and/or trade their way to wealth, fame and glory. Will you rewrite history as a peaceful and benevolent trader? Or pave your road to Valhalla with the treasures and bones of your fallen enemies? Experience choice and consequence as never before in the much awaited addition to the Expeditions Series, Expeditions: Viking.",Все возрастные группы,Средняя,Нет данных
costume quest 2,"Action, Adventure, RPG, Casual",Нет описания,Everyone 10+,Средняя,Нет данных
the pedestrian,"Adventure, Indie, Puzzle, Platformer",Нет описания,Everyone,Высокая,Нет данных
shadow complex remastered,"Action, Adventure",Нет описания,Все возрастные группы,Низкая,Нет данных
horizon zero dawn complete edition,"Action, Adventure, RPG",Нет описания,Teen,Высокая,Нет данных
midnight club: los angeles,"Racing, Arcade",Нет описания,Teen,Высокая,Нет данных
electronic super joy,"Action, Indie, Platformer",Нет описания,Mature,Высокая,Нет данных
final fantasy iii,RPG,Нет описания,Все возрастные группы,Средняя,Нет данных
flesh eaters,"Action, Adventure, RPG, Simulation, Indie","Flesh Eaters is retro style single player RTS zombie survival game with resource gathering and crafting.
Zombies are everywhere! You must gather resources to build barricades, upgrade weapons and armour and explore the city under the siege of the dead",Все возрастные группы,Низкая,Нет данных
deep dungeons of doom,"Adventure, RPG, Arcade, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
the deer,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
the henry stickmin collection,"Adventure, RPG, Casual, Indie",Нет описания,Teen,Низкая,Нет данных
deus ex: human revolution - the missing link,"Action, Shooter, RPG",Нет описания,Mature,Низкая,Нет данных
halo wars: definitive edition,Strategy,Нет описания,Все возрастные группы,Высокая,Нет данных
morkredd,Indie,Нет описания,Все возрастные группы,Низкая,Нет данных
ai: the somnium files,Adventure,Нет описания,Mature,Высокая,Нет данных
savant - ascent,"Action, Arcade, Indie",Нет описания,Everyone 10+,Низкая,Нет данных
battlefield 1943,"Action, Shooter",Нет описания,Teen,Высокая,Нет данных
"pokémon ruby, sapphire, emerald","Adventure, RPG",Нет описания,Everyone,Высокая,Нет данных
night call,"Simulation, Indie","""Night Call is a new kind of non linear narrative and noire game taking place in Paris, France.

Using the real city map (~105 km² or ~40.5 mi²) and the intimacy a taxi can offer, players will meet numerous and unique passengers to talk with. Some of them know things about the killer, others pretend to know things, and some just need to talk to someone.

More than just telling a story, Night Call also aims to show the city of Paris like it is in reality. A bit far from the usual cliché of the city of love. A gigantic city, always in movement, and full of very different people. Every one of them has a story to share. Put together, all these bits of stories will create a unique experience on the way to find the killer's identity.""",Mature,Средняя,Нет данных
raji: an ancient epic,"Action, Adventure, Indie",Raji: An Ancient Epic is an action-adventure game set in ancient India. A young girl named Raji has been chosen by the gods to stand against the demonic invasion of the human realm. Her destiny? To rescue her younger brother and face the demon lord Mahabalasura.,Все возрастные группы,Средняя,Нет данных
garfield kart - furious racing,Racing,Нет описания,Everyone,Низкая,Нет данных
diablo,"Action, RPG",Нет описания,Все возрастные группы,Высокая,Нет данных
ashen,"Action, Adventure, RPG",Нет описания,Teen,Высокая,Нет данных
venetica - gold edition,"Action, Adventure, RPG, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
prominence poker,"Strategy, Simulation, Massively Multiplayer","Welcome to Prominence Poker, a game that pits players from around the world against each other--and devious AI--to build the rep, prestige, and bankroll needed to be, and beat, the best of the best.",Teen,Низкая,Нет данных
jurassic park: the game,"Action, Adventure",Нет описания,Teen,Средняя,Нет данных
the guild ii - pirates of the european seas,"Strategy, Simulation",Нет описания,Все возрастные группы,Средняя,Нет данных
katamari damacy reroll,"Action, Casual, Puzzle",Нет описания,Все возрастные группы,Высокая,Нет данных
the lion's song: episode 1 - silence,"Adventure, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
before we leave,Strategy,Нет описания,Все возрастные группы,Средняя,Нет данных
the shapeshifting detective,"Adventure, RPG, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
avadon: the black fortress,"Adventure, RPG, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
overture,"Action, Adventure, RPG, Strategy, Casual, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
riders of icarus,"Adventure, RPG, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
carmageddon: max damage,"Action, Racing",Нет описания,Mature,Средняя,Нет данных
retrowave,"Action, Simulation, Sports, Racing, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
fuse,"Action, Shooter",Нет описания,Mature,Средняя,Нет данных
gravilon,"Action, Adventure, RPG, Strategy, Simulation, Sports, Racing, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
forza motorsport 6,Racing,Нет описания,Все возрастные группы,Высокая,Нет данных
nova-111,"Action, Adventure, Strategy, Indie","Tactical Rogue-like Combat. Turn-Based and Real-Time strategy sci-fi adventure. Nova-111 embarks on a journey to recover the 111 scientists scattered through it's alien worlds. Explore, battle and solve clever puzzles in the name of SCIENCE.",Everyone,Средняя,Нет данных
virtuaverse,"Adventure, Indie","VirtuaVerse is a cyberpunk point & click adventure set in the future not so far away; one where Artificial Intelligence prevailed above all other AI's and their governments and society has migrated to a permanently integrated reality. In your quest around the world, you will have to walk across hardware graveyards, deal with digital archeology, tribes of cryptoshamans, and virtual reality debauchery.",Все возрастные группы,Средняя,Нет данных
alien rage - unlimited,"Action, Shooter",Нет описания,Все возрастные группы,Средняя,Нет данных
hurtworld,"Action, Adventure, Simulation",Нет описания,Все возрастные группы,Низкая,Нет данных
turmoil,"Strategy, Simulation, Indie",Нет описания,Everyone 10+,Средняя,Нет данных
zen bound 2,"Casual, Family, Indie, Puzzle",Нет описания,Everyone 10+,Низкая,Нет данных
pixeljunk monsters ultimate,Strategy,Нет описания,Все возрастные группы,Средняя,Нет данных
supraball,"Action, Sports, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
shantae: risky's revenge - director's cut,"Action, Adventure, Indie, Platformer",Нет описания,Everyone 10+,Низкая,Нет данных
desktop dungeons,"Adventure, RPG, Strategy, Casual, Indie, Puzzle",Нет описания,Все возрастные группы,Высокая,Нет данных
playstation vr worlds,Action,Нет описания,Mature,Низкая,Нет данных
marvel's spider-man 2,Action,Нет описания,Teen,Низкая,Нет данных
16bit trader,"Adventure, RPG, Strategy, Simulation, Casual, Indie",Нет описания,Everyone,Низкая,Нет данных
ibomber defense pacific,"Action, Strategy, Casual, Indie",Нет описания,Everyone 10+,Низкая,Нет данных
world of final fantasy,RPG,Нет описания,Everyone 10+,Высокая,Нет данных
zombie shooter,"Action, Shooter, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
strife,"Action, RPG, Strategy",Нет описания,Все возрастные группы,Низкая,Нет данных
shakes and fidget,"Adventure, RPG, Strategy, Casual, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
rise of the triad,"Action, Shooter",Нет описания,Mature,Средняя,Нет данных
archeage,"RPG, Massively Multiplayer",Нет описания,Mature,Высокая,Нет данных
hexcells,"Strategy, Casual, Indie, Puzzle",Нет описания,Everyone 10+,Низкая,Нет данных
need for speed: prostreet,"Racing, Arcade",Нет описания,Everyone 10+,Средняя,Нет данных
destiny or fate,"RPG, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
60 parsecs!,"Action, Adventure, RPG, Strategy, Simulation, Casual, Indie",Нет описания,Everyone 10+,Средняя,Нет данных
transformers: war for cybertron,"Action, Shooter",Нет описания,Teen,Средняя,Нет данных
sniper art of victory,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
project: snowblind,Action,Нет описания,Все возрастные группы,Высокая,Нет данных
through the darkest of times,"Adventure, RPG, Strategy, Simulation, Educational, Indie",Нет описания,Teen,Низкая,Нет данных
naissancee,"Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
whispers of a machine,"Adventure, Indie, Puzzle",Нет описания,Все возрастные группы,Высокая,Нет данных
anna - extended edition,"Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
monument valley,"Adventure, Casual, Puzzle",Нет описания,Everyone,Высокая,Нет данных
tropico reloaded,"Strategy, Simulation",Нет описания,Все возрастные группы,Низкая,Нет данных
agent awesome,"Strategy, Puzzle",Нет описания,Teen,Низкая,Нет данных
ultratron,"Action, Arcade, Indie",Нет описания,Everyone,Низкая,Нет данных
mount your friends,"Simulation, Sports, Indie",Нет описания,Mature,Низкая,Нет данных
gamedec,"Adventure, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
florence,"Adventure, Casual, Family, Indie, Puzzle",Нет описания,Teen,Высокая,Нет данных
atlas reactor,Strategy,Нет описания,Все возрастные группы,Высокая,Нет данных
the stillness of the wind,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
the legend of zelda: the wind waker,Action,Нет описания,Everyone,Низкая,Нет данных
catherine: full body,"Action, Adventure, RPG, Puzzle",Нет описания,Mature,Высокая,Нет данных
the sims 2,Simulation,Нет описания,Teen,Высокая,Нет данных
shoppe keep,"Adventure, RPG, Strategy, Simulation, Indie",Нет описания,Teen,Низкая,Нет данных
anomaly defenders,"Action, Strategy, Indie",Нет описания,Everyone,Средняя,Нет данных
ravensword: shadowlands,"Action, Adventure, RPG, Indie",Нет описания,Teen,Низкая,Нет данных
aliens: fireteam elite,"Action, Shooter, RPG",Нет описания,Все возрастные группы,Средняя,Нет данных
cube escape: paradox,"Adventure, Indie, Puzzle",Нет описания,Teen,Низкая,Нет данных
röki,"Adventure, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
simpleplanes,"Educational, Indie",Нет описания,Everyone 10+,Средняя,Нет данных
godot engine,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
the mean greens - plastic warfare,"Action, Shooter, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
iesabel,"Action, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
bayonetta 2,Action,Нет описания,Mature,Высокая,Нет данных
galaxy on fire 2 full hd,"Adventure, RPG, Strategy",Нет описания,Все возрастные группы,Высокая,Нет данных
melissa k. and the heart of gold collector's edition,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
guilty gear xx accent core plus r,"Action, Fighting",Нет описания,Teen,Средняя,Нет данных
necromunda: hired gun,"Action, Shooter, Adventure, Strategy",Нет описания,Mature,Низкая,Нет данных
green hell,"Action, Adventure, Simulation, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
duskers,"Strategy, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
mortal kombat vs. dc universe,"Arcade, Fighting",Нет описания,Teen,Средняя,Нет данных
hardware: rivals,,Нет описания,Everyone 10+,Низкая,Нет данных
fight'n rage,"Action, Indie",Нет описания,Teen,Низкая,Нет данных
shining resonance refrain,"Adventure, RPG",Нет описания,Teen,Средняя,Нет данных
earth 2150 trilogy,Strategy,Нет описания,Все возрастные группы,Высокая,Нет данных
aaero,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
painkiller: recurring evil,Action,Нет описания,Adults Only,Низкая,Нет данных
oddworld: munch's oddysee (1997),"Action, Adventure, Strategy, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
the swindle,"Action, Adventure, RPG, Indie",Нет описания,Everyone 10+,Средняя,Нет данных
turbo pug,"Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
craft the world,"RPG, Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
secret neighbor,"Action, Adventure, RPG, Indie",Нет описания,Everyone 10+,Низкая,Нет данных
"please, don’t touch anything","Casual, Family, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
breach & clear,"Action, RPG, Strategy, Simulation",Нет описания,Teen,Средняя,Нет данных
the life and suffering of sir brante,"Adventure, RPG, Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
orbital gear,"Action, Simulation, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
altitude,"Action, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
alpha prime,Action,Нет описания,Все возрастные группы,Средняя,Нет данных
escape plan,Puzzle,Нет описания,Teen,Низкая,Нет данных
entwined,"Action, Arcade",Нет описания,Everyone 10+,Средняя,Нет данных
black survival: eternal return,"Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
merry snowballs,"Action, Sports, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
wipeout hd,"Action, Racing, Arcade",Нет описания,Everyone 10+,Низкая,Нет данных
eufloria,"Strategy, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
titan quest: immortal throne,"Action, RPG",Нет описания,Все возрастные группы,Высокая,Нет данных
post void,"Action, Shooter, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
devil may cry,Action,Нет описания,Mature,Высокая,Нет данных
one piece: burning blood,"Action, Arcade, Fighting",Нет описания,Все возрастные группы,Низкая,Нет данных
smile for me,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
indiana jones and the fate of atlantis: the graphic adventure,Adventure,Нет описания,Все возрастные группы,Низкая,Нет данных
kraven manor,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
blockade 3d,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
commando jack,"Action, Strategy, Indie",Нет описания,Mature,Низкая,Нет данных
synergy,"Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
dyson sphere program,"Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
gtr evolution,"Simulation, Racing",Нет описания,Все возрастные группы,Низкая,Нет данных
star wars: battlefront (2004),"Action, Shooter",Нет описания,Teen,Высокая,Нет данных
duke nukem 3d,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
the shrouded isle,"Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
deus ex,"Action, Shooter, RPG",Нет описания,Mature,Высокая,Нет данных
not tonight,"Adventure, RPG, Simulation",Нет описания,Все возрастные группы,Низкая,Нет данных
tsioque,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
the incredible adventures of van helsing iii,"Action, Adventure, RPG, Indie",Нет описания,Teen,Средняя,Нет данных
hand of fate 2,"Action, RPG, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
pixel puzzles: undeadz,"Action, Strategy, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
total war: attila,Strategy,Нет описания,Все возрастные группы,Высокая,Нет данных
bloodrayne,"Action, Shooter",Нет описания,Mature,Средняя,Нет данных
the survivalists,"Action, Adventure, Indie",Нет описания,Everyone 10+,Средняя,Нет данных
ea play hub,,Нет описания,Все возрастные группы,Низкая,Нет данных
audiosurf 2,Indie,Нет описания,Все возрастные группы,Высокая,Нет данных
skyhill,"Action, Adventure, RPG, Simulation, Casual, Indie",Нет описания,Teen,Средняя,Нет данных
f1 race stars,"Sports, Racing, Arcade, Family",Нет описания,Everyone 10+,Средняя,Нет данных
80 days,"Adventure, RPG, Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
